epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,182,1.30801,6.08787,0.28799,1.94566,1.12796,0.65519,0.79071,0.75507,0.3993,0.22619,0.21786,0.12745,0.02851,1.35241,6.99092,0.12965,3.80348,1.18139,0.000775733,0.000775733,0.000775733
3,270.99,1.25222,6.34208,0.28029,1.69504,1.10529,0.70073,0.83984,0.80119,0.49544,0.21644,0.21571,0.13836,0.02179,1.18418,6.52486,0.12045,2.98031,1.13844,0.00116014,0.00116014,0.00116014
4,359.659,1.31602,6.38815,0.28549,1.53683,1.13724,0.81932,0.86429,0.8529,0.48268,0.14723,0.13786,0.04445,0.00605,1.37633,7.48809,0.14847,2.101,1.29366,0.00153662,0.00153662,0.00153662
5,448.195,1.2652,6.71093,0.23234,1.4599,1.14291,0.60831,0.59,0.60385,0.32804,0.24097,0.19786,0.14119,0.03113,1.62722,7.75129,0.12281,3.14041,1.41121,0.00160099,0.00160099,0.00160099
6,537.033,1.30293,6.52056,0.24796,1.37187,1.14953,0.5985,0.46714,0.55133,0.34215,0.117,0.08,0.04279,0.0068,1.44314,7.87789,0.1312,4.18607,1.31769,0.00158448,0.00158448,0.00158448
7,625.401,1.29413,6.37067,0.24368,1.24678,1.1193,0.72801,0.79929,0.84205,0.45763,0.202,0.16,0.0866,0.01353,1.53841,7.34809,0.09034,2.18987,1.40562,0.00156798,0.00156798,0.00156798
8,714.034,1.20223,6.22746,0.25234,1.14943,1.11237,0.75418,0.74143,0.79825,0.43938,0.2702,0.19786,0.14056,0.02389,1.58741,7.12411,0.09614,1.85726,1.44275,0.00155148,0.00155148,0.00155148
9,802.358,1.14477,6.08907,0.24185,1.06801,1.11801,0.85218,0.73714,0.84547,0.48256,0.226,0.21786,0.13548,0.02447,1.52476,7.01102,0.17472,1.80759,1.3458,0.00153497,0.00153497,0.00153497
10,890.399,1.19563,5.66684,0.23238,1.03349,1.09863,0.98107,0.85837,0.9403,0.5574,0.28574,0.25357,0.13631,0.02271,1.34189,6.89739,0.07968,1.16812,1.24142,0.00151847,0.00151847,0.00151847
11,978.398,1.20514,6.09653,0.27019,1.06511,1.11697,0.9239,0.86716,0.92245,0.51034,0.22941,0.21571,0.09957,0.02738,1.41593,7.06956,0.08129,1.22151,1.26022,0.00150197,0.00150197,0.00150197
