epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27070.6,1.53581,0.71544,0.91304,0.84686,0.81456,0.87784,0.53686,1.58741,1.58371,0.92039,0.0005941,0.0005941,0.0005941
43,27718.6,1.54646,0.71566,0.90838,0.88693,0.84013,0.87718,0.54934,1.53856,1.00032,0.90719,0.0005842,0.0005842,0.0005842
44,28361.5,1.5108,0.70504,0.90415,0.88019,0.81829,0.88145,0.54558,1.53727,1.00581,0.90857,0.0005743,0.0005743,0.0005743
45,29004.7,1.51044,0.70056,0.90392,0.88349,0.82074,0.87919,0.53658,1.62134,0.95675,0.92677,0.0005644,0.0005644,0.0005644
46,29647,1.53077,0.70709,0.9085,0.87481,0.83508,0.87409,0.54574,1.56866,1.10634,0.91247,0.0005545,0.0005545,0.0005545
47,30290.6,1.5298,0.70521,0.90582,0.88317,0.83768,0.89052,0.54459,1.56148,1.22858,0.9187,0.0005446,0.0005446,0.0005446
48,30932.4,1.50395,0.69821,0.90182,0.866,0.8131,0.89037,0.5469,1.57216,1.15817,0.91246,0.0005347,0.0005347,0.0005347
49,31576.1,1.49391,0.69358,0.8976,0.87723,0.83186,0.88307,0.56252,1.51348,1.15812,0.904,0.0005248,0.0005248,0.0005248
50,32218.8,1.48031,0.68791,0.89889,0.89295,0.84297,0.89315,0.55644,1.53232,1.05453,0.92261,0.0005149,0.0005149,0.0005149
51,32861,1.48276,0.68219,0.89938,0.88132,0.83904,0.87703,0.55465,1.49643,1.21815,0.90422,0.000505,0.000505,0.000505
52,33506.4,1.48332,0.69,0.89692,0.89991,0.81196,0.87615,0.55029,1.53097,1.02487,0.9066,0.0004951,0.0004951,0.0004951
53,34149.2,1.47249,0.67856,0.89785,0.87248,0.83771,0.89151,0.55207,1.54838,1.08985,0.91242,0.0004852,0.0004852,0.0004852
54,34794.1,1.46311,0.67869,0.89928,0.85835,0.83666,0.88307,0.5569,1.51289,1.03466,0.89915,0.0004753,0.0004753,0.0004753
55,35437.1,1.46241,0.6759,0.89611,0.89068,0.84195,0.88466,0.55881,1.54199,0.94987,0.91031,0.0004654,0.0004654,0.0004654
56,36080.5,1.45015,0.67431,0.89622,0.86425,0.79708,0.86108,0.54518,1.51595,1.01626,0.90752,0.0004555,0.0004555,0.0004555
57,36732.5,1.46395,0.67361,0.89388,0.83156,0.8421,0.88761,0.55385,1.55393,0.9695,0.90851,0.0004456,0.0004456,0.0004456
58,37482,1.43488,0.66525,0.89541,0.90587,0.83802,0.89141,0.56407,1.48224,1.10196,0.89542,0.0004357,0.0004357,0.0004357
59,38225,1.44796,0.66698,0.89269,0.8679,0.84191,0.89175,0.55905,1.53899,0.91891,0.91508,0.0004258,0.0004258,0.0004258
60,38968.9,1.44414,0.6663,0.89617,0.89639,0.85442,0.89785,0.56282,1.51662,0.94287,0.9072,0.0004159,0.0004159,0.0004159
61,39699.9,1.42056,0.65363,0.88778,0.89199,0.84128,0.89214,0.56948,1.48529,0.90629,0.90142,0.000406,0.000406,0.000406
62,40390.2,1.41775,0.65458,0.88786,0.88644,0.84165,0.89548,0.56592,1.5185,1.04385,0.90409,0.0003961,0.0003961,0.0003961
63,41057,1.4214,0.65513,0.88844,0.90317,0.84118,0.89728,0.57198,1.49504,1.04177,0.90266,0.0003862,0.0003862,0.0003862
